grid_name,unitid,note
Aberystwyth University,,
Air Force Academy,,
AMDA College of the Performing Arts,,
AMDA The American Musical and Dramatic Academy,,
American College of the Mediterranean (ACM),,
American University in Bulgaria,,
American University of Beirut (AUB),,
Anglo-American University in Prague,,
Arizona State University,,
"Arts University Bournemouth, UK",,
Bard College Berlin,,
Batten University,,
Bay Atlantic University,,
Bishop's University,,
Black Hawk College,,
Calumet College of St. Joseph,,
Carl Sandburg College,,
Carnegie Mellon University in Qatar,,
College of DuPage,,
Community College of Baltimore County,,
"Concordia University, St. Paul",,
CUNEF Universidad,,
Dharma Realm Buddhist University,,
Dublin City University,,
Duke Kunshan University,,
Edinburgh Napier University,,
Elim Bible College,,
Elms College,,
Esade Barcelona,,
ESCP Business School,,
Fairleigh Dickinson University,,
Fei Tian College - Northern Campus,,
Franklin Switzerland,,
Georgetown University in Qatar,,
Harcum College,,
Heartland Community College,,
Hobart and William Smith Colleges,,
"Hult International Business School – U.S, U.K, Dubai",,
IE University - Madrid Campus and Segovia Campus,,
Illinois Eastern Community Colleges,,
Indiana Tech,,
Indiana University Bloomington - Flagship Campus,,
Indiana Wesleyan University (Marion),,
Inter American University of Puerto Rico,,
Jack Kent Cooke Foundation,,
John Cabot University in Rome,,
Johnson & Wales University-Charlotte,,
Kankakee Community College,,
Keiser University Flagship Campus - West Palm Beach Florida,,
Kentucky College of Art + Design,,
Kishwaukee College,,
Laguna College of Art + Design,,
Lake Land College,,
Landmark College,,
Leeds Beckett University,,
Lincoln Land Community College,,
Lincoln University of Pennsylvania,,
List College The Jewish Theological Seminary,,
London Metropolitan University,,
Louisiana State University A&M-Baton Rouge,,
Manor College,,
Maryville University of St. Louis,,
Miami University (Ohio),,
Mount Saint Mary's University Los Angeles,,
New England Institute of Technology,,
New York School of Career and Applied Studies of Touro University,,
Northwestern University in Qatar,,
Oakton College,,
Oberlin College of Arts and Sciences,,
Oberlin Conservatory of Music,,
Ole Miss - The University of Mississippi,,
Oregon Tech,,
Pacific University Oregon,,
Paul Smith's College,,
Penn State,,
Pennsylvania College of Technology,,
Rend Lake College,,
Richard Bland College,,
Richmond The American International University in London,,
Rutgers University,,
Saint John's University (MN),,
Saint Louis University- Madrid,,
"Saint Mary's College, Notre Dame, Indiana",,
Salzburg College,,
Sauk Valley Community College,,
Sewanee: The University of the South,,
Simon's Rock at Bard College,,
SKEMA Business School - US Campus,,
Spartanburg Methodist College,,
St. Ambrose University,,
St. Edward's University,,
"St. Joseph's University, New York - Brooklyn Campus",,
"St. Joseph’s University, New York - Long Island Campus",,
St. Norbert College,,
"St. Thomas University, Canada",,
SUNY Alfred State College of Technology,,
SUNY Binghamton University,,
SUNY Cobleskill,,
SUNY College at Brockport,,
SUNY College at Old Westbury,,
SUNY Cortland,,
SUNY Delhi,,
SUNY Farmingdale State College,,
SUNY Fredonia,,
SUNY Morrisville State College,,
SUNY New Paltz,,
SUNY Oswego,,
SUNY Plattsburgh,,
SUNY Potsdam,,
SUNY Purchase,,
SUNY Stony Brook University,,
SUNY University at Buffalo,,
"SUNY, University at Albany",,
"Temple University, Japan Campus",,
Texas A&M University,,
Texas A&M University at Galveston,,
The American College of Greece,,
The American University in Cairo,,
The American University of Florence,,
The American University of Paris,,
The American University of Rome,,
"The Citadel, The Military College of South Carolina",,
The College of St. Scholastica,,
The Culinary Institute of America,,
The University of Oklahoma,,
Triton College,,
"UMBC: University of Maryland, Baltimore County",,
"Underwood International College, Yonsei University",,
University of Aberdeen,,
University of Akron,,
University of East London,,
University of Guelph,,
University of Limerick,,
University of Maryland,,
University of Michigan,,
University of Missouri,,
University of North Carolina Greensboro,,
University of Pittsburgh,,
"University of Roehampton, London",,
University of Saint Francis-Fort Wayne Indiana,,
University of Southern Indiana,,
University of St Andrews,,
University of St. Thomas - Houston,,
University of Stirling,,
University of Strathclyde,,
University of the District of Columbia,,
University of the Highlands and Islands,,
"University of the West of England (UWE), Bristol",,
University of Washington,,
University of Wisconsin- Stout Polytechnic,,
University of Worcester (UK),,
Utah Tech University,,
Vaughn College of Aeronautics and Technology,,
Vincennes University,,
Virginia Tech,,
Wake Technical Community College,,
Westlake University,,
William Paterson University of NJ,,
William Rainey Harper College,,
"Woodbury University – now University of Redlands, Los Angeles",,
Siena University,,listed more than once in the grid
Siena University,,listed more than once in the grid
Siena University,,listed more than once in the grid
