unitid,name,state,admit_rate_pct,admissions_url,source_url,prompts_found,notes
144050,University of Chicago,IL,4.5,https://collegeadmissions.uchicago.edu/apply/first-year-applicants,,,
182670,Dartmouth College,NH,5.4,https://admissions.dartmouth.edu/,,,
198419,Duke University,NC,5.7,https://admissions.duke.edu/,,,
221999,Vanderbilt University,TN,5.9,https://admissions.vanderbilt.edu/,,,
161004,Bowdoin College,ME,7.1,https://www.bowdoin.edu/admissions/,,,
216287,Swarthmore College,PA,7.5,https://www.swarthmore.edu/admissions-aid,,,
168342,Williams College,MA,8.2,https://www.williams.edu/admission-aid/,,,
189097,Barnard College,NY,8.8,https://barnard.edu/admissions-aid,,,
193900,New York University,NY,9.2,https://www.nyu.edu/admissions/undergraduate-admissions.html,,,
112260,Claremont McKenna College,CA,9.6,https://cmc.edu/admission/first-year-application-instructions,,,
123961,University of Southern California,CA,9.8,https://admission.usc.edu/prospective-students/how-to-apply/first-year-students/,,,
139658,Emory University,GA,10.7,https://apply.emory.edu/,,,
164988,Boston University,MA,11.1,https://www.bu.edu/admissions/,,,
152080,University of Notre Dame,IN,11.3,https://admissions.nd.edu/apply/,,,
211440,Carnegie Mellon University,PA,11.7,https://www.cmu.edu/admission,,,
179867,Washington University in St Louis,MO,12.1,https://admissions.washu.edu/,,,
115409,Harvey Mudd College,CA,12.7,https://hmc.college-tour.com/,,,
131496,Georgetown University,DC,12.9,https://college.georgetown.edu/,,,
198385,Davidson College,NC,13.4,https://www.davidson.edu/admission-and-financial-aid/apply,,,
191515,Hamilton College,NY,13.6,https://www.hamilton.edu/admission,,,
190099,Colgate University,NY,13.9,https://www.colgate.edu/admission-aid/apply,,,
234207,Washington and Lee University,VA,14.0,https://www.wlu.edu/admissions/,,,
160755,Tulane University of Louisiana,LA,14.0,https://admission.tulane.edu,,,
153384,Grinnell College,IA,14.5,https://www.grinnell.edu/admission/apply/first-year,,,
199120,University of North Carolina at Chapel Hill,NC,15.3,https://www.admissions.unc.edu,,,
164924,Boston College,MA,16.4,,,,
234076,University of Virginia-Main Campus,VA,16.8,https://admission.virginia.edu/,,,
164580,Babson College,MA,17.1,https://www.babson.edu/admission/undergraduate-school/,,,
197133,Vassar College,NY,18.6,https://www.vassar.edu/admission,,,
217493,Rhode Island School of Design,RI,18.7,https://www.risd.edu/admissions/first-year/apply/,,,
135726,University of Miami,FL,18.9,https://admissions.miami.edu/firstyear,,,
173258,Carleton College,MN,20.4,https://www.carleton.edu/admissions/,,,
190372,The Cooper Union for the Advancement of Science and Art,NY,20.7,https://cooper.edu/admissions,,,
170286,Hillsdale College,MI,20.7,https://www.hillsdale.edu/admissions-aid/admissions-2/,,,
167835,Smith College,MA,21.0,https://www.smith.edu/admission-aid/how-apply/first-year-students,,,
199847,Wake Forest University,NC,21.7,https://admissions.wfu.edu/,,,
233374,University of Richmond,VA,22.2,https://admissions.richmond.edu/,,,
134130,University of Florida,FL,24.2,https://admissions.ufl.edu/apply/freshman/,,,
209922,Reed College,OR,24.6,https://www.reed.edu/apply/,,,
141060,Spelman College,GA,24.9,https://www.spelman.edu/admissions,,,
121257,Pitzer College,CA,25.2,https://www.pitzer.edu/admission-aid/how-apply/first-year-applicants,,,
213543,Lehigh University,PA,25.9,https://www2.lehigh.edu/admissions,,,
216597,Villanova University,PA,27.0,,,,
173902,Macalester College,MN,28.5,https://www.macalester.edu/admissions/connect/meet-the-staff/,,,
211291,Bucknell University,PA,28.9,https://www.bucknell.edu/admissions-aid,,,
130590,Trinity College,CT,29.2,https://www.trincoll.edu/admissions/undergraduate-admissions/,,,
211273,Bryn Mawr College,PA,29.4,https://www.brynmawr.edu/admissions/undergraduate-admissions,,,
